study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	experiment_title	study_title	run_alias	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy	sample_alias	broker_name	sample_title
PRJEB28687	SAMEA4970463	ERS2788677	ERX2843217	ERR2836366	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:447-1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/006/ERR2836366/ERR2836366_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/006/ERR2836366/ERR2836366_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/006/ERR2836366/ERR2836366_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/006/ERR2836366/ERR2836366_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836366/CS.001.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836366/CS.001.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836366/CS.001.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836366/CS.001.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/006/ERR2836366	ftp.sra.ebi.ac.uk/vol1/err/ERR283/006/ERR2836366			CS.001		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970462	ERS2788676	ERX2843218	ERR2836367	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:447-2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/007/ERR2836367/ERR2836367_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/007/ERR2836367/ERR2836367_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/007/ERR2836367/ERR2836367_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/007/ERR2836367/ERR2836367_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836367/CS.002.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836367/CS.002.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836367/CS.002.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836367/CS.002.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/007/ERR2836367	ftp.sra.ebi.ac.uk/vol1/err/ERR283/007/ERR2836367			CS.002		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970461	ERS2788675	ERX2843219	ERR2836368	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:447-3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/008/ERR2836368/ERR2836368_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/008/ERR2836368/ERR2836368_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/008/ERR2836368/ERR2836368_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/008/ERR2836368/ERR2836368_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836368/CS.003.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836368/CS.003.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836368/CS.003.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836368/CS.003.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/008/ERR2836368	ftp.sra.ebi.ac.uk/vol1/err/ERR283/008/ERR2836368			CS.003		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970460	ERS2788674	ERX2843220	ERR2836369	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:447-4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/009/ERR2836369/ERR2836369_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/009/ERR2836369/ERR2836369_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/009/ERR2836369/ERR2836369_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/009/ERR2836369/ERR2836369_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836369/CS.004.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836369/CS.004.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836369/CS.004.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836369/CS.004.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/009/ERR2836369	ftp.sra.ebi.ac.uk/vol1/err/ERR283/009/ERR2836369			CS.004		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970459	ERS2788673	ERX2843221	ERR2836370	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:447-5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/000/ERR2836370/ERR2836370_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/000/ERR2836370/ERR2836370_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/000/ERR2836370/ERR2836370_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/000/ERR2836370/ERR2836370_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836370/CS.005.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836370/CS.005.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836370/CS.005.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836370/CS.005.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/000/ERR2836370	ftp.sra.ebi.ac.uk/vol1/err/ERR283/000/ERR2836370			CS.005		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970458	ERS2788672	ERX2843222	ERR2836371	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:447-6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/001/ERR2836371/ERR2836371_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/001/ERR2836371/ERR2836371_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/001/ERR2836371/ERR2836371_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/001/ERR2836371/ERR2836371_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836371/CS.006.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836371/CS.006.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836371/CS.006.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836371/CS.006.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/001/ERR2836371	ftp.sra.ebi.ac.uk/vol1/err/ERR283/001/ERR2836371			CS.006		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970457	ERS2788671	ERX2843223	ERR2836372	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:447-7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/002/ERR2836372/ERR2836372_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/002/ERR2836372/ERR2836372_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/002/ERR2836372/ERR2836372_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/002/ERR2836372/ERR2836372_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836372/CS.007.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836372/CS.007.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836372/CS.007.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836372/CS.007.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/002/ERR2836372	ftp.sra.ebi.ac.uk/vol1/err/ERR283/002/ERR2836372			CS.007		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970456	ERS2788670	ERX2843224	ERR2836373	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:447-8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/003/ERR2836373/ERR2836373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/003/ERR2836373/ERR2836373_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/003/ERR2836373/ERR2836373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/003/ERR2836373/ERR2836373_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836373/CS.008.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836373/CS.008.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836373/CS.008.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836373/CS.008.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/003/ERR2836373	ftp.sra.ebi.ac.uk/vol1/err/ERR283/003/ERR2836373			CS.008		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970455	ERS2788669	ERX2843225	ERR2836374	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:447-9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/004/ERR2836374/ERR2836374_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/004/ERR2836374/ERR2836374_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/004/ERR2836374/ERR2836374_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/004/ERR2836374/ERR2836374_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836374/CS.009.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836374/CS.009.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836374/CS.009.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836374/CS.009.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/004/ERR2836374	ftp.sra.ebi.ac.uk/vol1/err/ERR283/004/ERR2836374			CS.009		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970454	ERS2788668	ERX2843226	ERR2836375	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:447-10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/005/ERR2836375/ERR2836375_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/005/ERR2836375/ERR2836375_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/005/ERR2836375/ERR2836375_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/005/ERR2836375/ERR2836375_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836375/CS.010.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836375/CS.010.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836375/CS.010.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836375/CS.010.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/005/ERR2836375	ftp.sra.ebi.ac.uk/vol1/err/ERR283/005/ERR2836375			CS.010		Immigrant Microbiome Project, 16s
