"sutterellaceae","desulfovibrionaceae","prevotellaceae","bacteroidaceae","porphyromonadaceae","rikenellaceae","verrucomicrobiaceae","bifidobacteriaceae","coriobacteriaceae","streptococcaceae","erysipelotrichaceae","lachnospiraceae","clostridiaceae_1","peptostreptococcaceae","ruminococcaceae","veillonellaceae","acidaminococcaceae","methanobacteriaceae"
"ERR2836366",1,98,13,13,2,1,599,448,830,1,869,152,19,1,817,375,1,805
"ERR2836368",1,22,20,3,2,1,10,1,198,1,181,38,35,29,232,130,1,6
"ERR2836369",1,2,2,233,53,1,10,1,70,14,8,3,2,1,320,1,238,1
"ERR2836370",14,69,91,3,28,1,31,39,928,27,282,86,181,119,412,265,1,32
"ERR2836371",164,17,4,62,31,1,9,66,1747,124,239,36,188,44,154,379,5,4
"ERR2836372",1,145,52,295,12,1,3,1,446,48,130,41,2,41,251,196,1,1
"ERR2836373",109,2,331,38,15,1,1,1,667,552,95,3,67,34,79,98,4,1
"ERR2836374",1,9,4,3,2,39,21,1,495,14,3,157,2,1,104,3,386,1
"ERR2836375",1,9,20,11,2,1,66,1,50,9,14,18,26,1,19,16,1,13
"ERR2836376",1,14,74,3,57,1,1,584,1383,1,199,146,55,34,786,199,57,1389
"ERR2836377",1,25,4,15,50,1,49,1,830,15,191,40,2,24,671,296,1,166
"ERR2836378",64,42,2,54,2,124,82,1,583,153,25,106,2,1,358,39,25,28
"ERR2836379",1,18,25,21,24,1,41,54,655,26,155,102,34,10,352,105,86,60
"ERR2836380",1,2,38,26,14,1,1,1,990,1,66,43,67,1,133,245,1,1
"ERR2836381",1,2,232,27,39,139,5,1,726,1,208,53,461,15,458,1,15,6
"ERR2836382",1,11,451,64,35,1,1,1,101,1,80,30,155,16,119,124,1,1
"ERR2836383",1,2,2,3,2,1,1,1,143,1,18,46,123,9,135,1,1,1
"ERR2836384",1,9,2,57,41,7,1,1,362,1,511,26,29,1,128,174,1,1
"ERR2836385",1,39,2,3,17,1,1,1,242,1,3,78,306,195,185,254,1,1
"ERR2836386",575,53,2,197,183,1,103,1,718,1,70,113,312,1,258,1,1,1
"ERR2836387",328,7,2,811,91,1,1,1,621,20,7,112,875,37,86,187,1,1
"ERR2836388",20,2,56,13,14,6,3,1,913,107,56,25,269,49,195,28,14,1
"ERR2836389",15,59,90,24,77,1,116,76,469,45,144,63,80,17,383,96,6,383
"ERR2836390",258,24,15,106,23,1,1,1,903,72,138,35,30,1,206,1,1,4
"ERR2836391",1,2,39,68,14,1,7,1,85,17,70,54,28,1,175,1,44,1
"ERR2836392",62,12,923,67,102,21,1,1,300,10,10,3,64,7,94,1,11,5
"ERR2836393",102,30,311,213,18,1,1,1,210,17,43,22,70,6,155,1,1,6
"ERR2836394",1,33,2,36,120,1,29,32,553,122,550,39,31,231,525,1,1,1
"ERR2836395",39,43,142,29,29,15,1,1,204,27,38,130,21,1,596,26,33,25
"ERR2836396",63,63,87,59,57,7,1,13,1213,57,8,76,2,1,1366,55,1,166
"ERR2836397",3,2,390,37,2,1,1,984,84,21,128,52,2,1,115,1,1,12
"ERR2836398",188,2,169,46,18,8,9,270,487,54,70,20,376,1,178,27,4,11
"ERR2836399",95,14,26,3,12,6,15,1,239,20,25,63,23,1,153,1,1,25
"ERR2836400",90,75,2,57,2,166,464,1,778,144,54,60,59,1,380,68,44,1
"ERR2836401",40,8,2,656,26,15,1,1,241,12,3,34,2,1,45,1,364,1
"ERR2836402",1,2,2,3,11,1,1,1,293,40,19,66,608,1,82,76,1,1
"ERR2836403",1,2,59,23,2,1,1,1,14,1,11,3,52,1,29,29,32,1
"ERR2836404",1,2,2,28,91,1,1,9,404,26,108,59,6,44,247,1,1,9
"ERR2836405",1,38,9,638,68,249,1,1,107,13,3,27,197,1,81,1,18,1
"ERR2836406",1,4,2,3,2,1,1,54,118,7,41,12,2,1,91,1,1,1
"ERR2836407",149,13,2,40,170,1,1,1,245,34,148,90,40,12,421,1,1,1
"ERR2836408",226,2,2,3,42,1,1,1,521,286,3,83,2,22,183,1,1,1
"ERR2836409",35,17,2,3,2,72,1,1,148,29,132,60,95,8,297,1,1,1
"ERR2836411",1,26,2,229,261,86,1,1,712,1,106,3,2,1,70,1,8,1
"ERR2836412",1,6,57,11,40,1,1,1,685,1,239,126,2,1,62,32,1,1
"ERR2836413",1,2,5,576,2,1,6,68,32,8,3,196,15,1,64,16,144,1
"ERR2836414",1,2,2,228,2,1,18,1,82,637,125,119,2,1,525,1,18,1
"ERR2836415",79,27,220,233,2,1,1,1,691,15,44,11,46,7,162,1,24,1
"ERR2836416",1,39,2,199,65,9,1,1,454,52,35,114,14,16,115,1,180,6
"ERR2836417",56,2,2,3,62,1,1,57,732,60,3,178,2,1,125,1,204,1
"ERR2836418",35,2,2,344,2,1,34,27,193,45,3,29,53,14,212,1,1,1
"ERR2836419",108,30,210,297,2,13,1,1,145,1,62,8,51,1,146,1,1,7
"ERR2836420",108,38,346,127,39,61,8,1,304,791,68,46,213,38,107,1,106,1
"ERR2836421",50,58,298,23,2,1,1,1,171,183,448,3,146,1,529,1,1,243
"ERR2836423",1,2,54,9,2,1,1,148,529,6,3,134,144,1,103,1,1,1
"ERR2836424",1,22,2,76,10,7,1,181,803,66,142,106,24,5,197,228,1,1
"ERR2836425",1,22,2,335,2,334,1,227,905,823,3,257,170,143,230,1,1,1
"ERR2836426",1,2,152,98,254,48,1,1,935,30,205,232,24,10,1760,1,1,86
"ERR2836427",1,2,2,11,26,165,95,1,1138,22,7,91,2,1,420,1,9,1
"ERR2836428",1,8,27,48,8,1,3,1,317,131,504,73,26,15,183,135,1,1
"ERR2836430",1,38,2,71,39,32,15,1,1277,29,3,95,2,1,176,1,1,1
"ERR2836431",1,55,2,1723,2,1,1,1,120,1,3,608,2,1,112,1,1,1
"ERR2836432",1,24,2,132,6,1,1,1,956,113,3,62,28,17,66,1,45,5
"ERR2836433",92,35,290,53,65,12,5,1,703,146,139,207,313,18,402,90,25,9
"ERR2836434",1,2,9,3,2,1,1,1,34,1,7,15,8,1,53,1,34,1
"ERR2836435",279,37,20,101,2,1,4,1,556,19,18,69,2,1,85,1,1,1
"ERR2836436",186,128,2,3,47,1,1,1,367,18,87,18,336,91,490,185,1,1
"ERR2836437",39,2,2,762,2,45,44,670,388,14,16,236,121,1,51,13,144,1
"ERR2836438",1,20,2,3,13,1,1,805,689,99,72,3,20,1,133,1,27,1
"ERR2836439",116,65,2,99,59,1,6,1,647,1,322,12,2,1,303,470,1,1
"ERR2836440",1,10,2,193,68,1,1,121,7,1,3,83,34,1,133,9,208,1
"ERR2836441",12,2,58,429,22,1,1,1,604,1,47,41,941,1,74,1,76,1
"ERR2836442",160,24,31,109,105,49,1,207,815,54,48,65,65,7,381,403,36,28
"ERR2836443",40,14,56,188,50,1,90,49,564,87,112,220,84,12,202,93,10,74
"ERR2836444",1,13,16,31,8,1,9,1,17,18,208,23,101,1,88,1,8,12
"ERR2836445",90,44,35,30,86,1,1,1,368,40,25,36,109,1,449,1,31,1
"ERR2836446",1,9,2,44,62,1,8,189,548,48,145,49,2,1,233,270,1,1
"ERR2836447",134,9,2,12,11,1,1,1,901,53,249,68,131,40,72,643,1,1
