"n1","n2","n3","n4","n5","n6","n7","n8","n9","n10","n11","n12","n13","n14","n15","n16","n17","n18","n19","n20","n21","n22","n23","n24","n25","n26","n27","n28","n29","n30","n31","n32","n33","n34","n35"
"ERR2836366",-2.08627942619891,-0.345708187934768,-1.6876555934981,0.171631265151315,-1.19346173979474,1.05526684798185,-2.60873716177592,-0.100346445759938,0.402234850247196,0.0453915310613285,0.0990182024577676,0.0300226127355537,-0.453473909873255,0.974847461913238,1.15809076708865,-0.449394788542697,0.178590583092441,0.212378783130188,-3.14854649865412,0.231370869465592,0.206760647225815,-0.321466544206838,-0.260113377559879,0.384144770005417,1.04202342696172,-0.583742486609923,0.413503439781406,-0.528888469401163,0.795848377289691,0.105402840758062,0.141545391768408,-0.199411733052582,-0.382983018889741,-0.291832503262384,1.24363795879654
"ERR2836368",-0.13979398820394,-0.321014312546875,-0.994023801675431,0.184430628127569,-0.968573930785806,0.115462986096006,-1.03639322915963,-0.130245418735072,0.338921471768838,-0.00514885098372724,0.0617665122515523,-0.0324436418769755,-0.0715706707624944,1.09369906200032,-1.95489965733114,-0.297206938915318,0.223421522120674,0.107294732554008,-2.18967097085201,0.135769797976343,-0.940728433731957,-0.409026203361069,-0.170628767404213,-0.700195446421848,-0.790660419042246,1.0228872619917,-0.0917803608445261,0.45385710558101,0.362313054416004,-0.271786742806567,1.05103558726159,-0.148056742977279,-0.228766049912051,-0.16854383435942,0.967449245973309
"ERR2836369",0.483645252357344,-0.382257280364029,-0.507140080025329,-0.173555526175862,0.165159385615105,-0.1410248981025,-0.798726443773409,0.0238986182696843,0.665333344283021,-0.919435376977126,0.132666700857863,-1.23758432010181,-0.169192981810488,0.332161164316277,-1.10250013881218,-0.410689756515542,-0.722856693741625,-0.974390447846751,1.31642262637282,-0.47364218394627,0.512455943727566,0.325192755968553,-0.804693462491368,-0.245298688971493,-0.181391246228018,0.316084954549089,0.0642292279515831,-0.0862176628183197,0.235479125539425,-0.225587338947221,-0.668994413254583,-0.225581556720614,-0.25591137316157,-0.152820882427304,-1.7281899624921
"ERR2836370",-0.298059606315767,0.00422456925024391,-1.04316551994399,0.138227990185842,-0.190518048672116,0.355073978944619,-0.781015042819056,0.325564337301844,0.323017384212203,-0.344501465612867,0.385519179246773,0.510447604561947,0.420803133554034,0.292292250247136,-0.549223495270457,-0.368911536500881,0.104997538442003,0.23513923071826,-0.602904140898611,0.552011558073134,-0.31984520784242,-0.228964672535826,0.258450424679509,-0.482990333407022,-0.696309363064404,-0.167627977226401,-0.285044983878239,-0.132253407291163,0.686041113738282,0.235978798429197,0.240214470056445,-0.159024774631318,-0.288131681164721,-0.158051276944739,1.15312216295009
"ERR2836371",0.649403610614769,0.316657893036488,-1.47573546595315,0.0871025048817821,1.73957461688045,0.584009977168924,-0.342553369678811,0.292737182346987,-0.388318390487446,-0.161340393853298,-0.26044064638135,-0.680232320527471,-0.556731448118172,0.616301843950608,-0.578330316212093,-0.498825516193201,0.00558838287693428,1.02131131768105,0.200474474966467,-0.212416692500911,-0.434241187384068,-0.680217679554294,0.322686534963545,-0.402944170637083,-1.28297917553136,-0.547773775789846,0.0642292279515831,-0.0469000970555462,0.540279788749342,0.313232257697836,-0.310734713290931,-0.0316329707183604,-0.17133129721207,-0.0531097044122147,0.826815526092448
"ERR2836372",1.07043592441792,-0.00286674811215743,-0.911651826236409,0.280842777498263,-1.86536137438152,0.00319206109658361,-0.186899869568874,0.11192092943542,0.851727368787175,-0.308778423554317,0.289963219289401,-0.615679764439269,-0.877526629217649,1.3490727891083,-2.53719958373445,-0.0475841607005287,-0.073511296366446,0.528314602199796,0.173859012652647,0.404518983890391,-0.857316206635894,-0.440248383386461,-0.176818230308572,-0.739726719245686,1.0486110238858,-0.415091580406761,0.236764065945002,-0.0862176628183197,0.136704625754244,0.458263585797693,-0.0855545389244212,0.312460422007607,-0.325103618199401,0.366088962664001,1.07448957175383
"ERR2836373",1.01097940849477,0.495166628215987,-0.893671096058323,-0.234324669999579,2.37091677387585,-0.1410248981025,0.898399331861721,0.534046905715945,0.415014584624196,0.840279976644054,0.292939684560071,0.861090227147176,0.122964697514115,0.0321482663282417,-2.78815670191489,-0.181569740355012,-0.0475769682344412,1.53738917286371,1.51460390464658,0.397531388214788,0.124831719838005,-0.639581311518297,0.00579217080431526,-0.790659960199456,-1.84327736552918,0.316084954549089,0.0642292279515831,0.180340977378053,0.225549360174702,-0.474365159388529,0.114632972659962,0.102716849262188,-0.260555155046931,0.0592212092641755,0.532368701566037
"ERR2836374",0.564957482381084,0.450628068809172,-1.49305016349937,-0.0579250543498101,-0.194980113288603,-0.684801054556069,-1.19836221199481,-0.98462335978705,0.376856424202375,0.02513301100074,0.0840862988433334,0.00498374636826711,-0.0376259983132306,0.0480204846819453,-2.60680124976202,-0.0291735762328719,-0.0676504197682865,-0.721428203872123,1.45013183813313,-0.20983778258694,0.512455943727566,-0.18020169564156,0.227546696327024,0.254235326687192,1.42061682308981,0.639209602973966,-0.127850831402117,-0.0862176628183197,0.656362267501305,0.176110514040114,-0.668994413254583,0.0456071690022379,0.324771910390599,0.36964358520312,-1.56784448254893
"ERR2836375",-1.12093746294127,0.275609067912042,-0.221809088410315,-0.118563967134817,-0.194980113288603,-0.684801054556069,-1.5215374289184,0.0390935361534278,0.697509753409888,0.281096950244738,0.27274908655593,0.321346780311847,-0.152557066411592,-0.429376733367768,-0.907392074203776,-0.722109478472188,-0.133341958641788,0.71017859239069,0.217250511575858,0.104797355968137,-0.189055741070317,-0.472894189037722,0.399553709434999,0.0796524819261568,-1.07939647551828,0.823756006635286,0.102465467568749,0.0981750925214645,0.368110880019656,0.223543199446109,0.572958658721214,0.217294494231811,0.0480029302392741,-0.0183843847205607,0.421286356364459
"ERR2836376",-2.25833763704273,-0.251753861432989,-1.68187085200817,-0.216782806688827,-0.279065449656466,-0.811761860475464,0.60862908875977,0.346110021716778,0.0170437554395676,-0.59574368877969,0.335427083559683,0.426449654779178,0.344621411412409,-0.777506071455674,1.13845831286496,-0.81573702529128,-0.0833472475740618,-0.854544905433201,-2.23734715104832,-0.214764625442539,-0.861693179114596,-0.336013767752728,0.0485986144034711,-0.201524720712296,0.300081067431488,-0.16649362776181,0.0293433210740061,0.266431506810718,0.492536203419868,-0.0930551665584633,0.729932263199676,-0.27754441482695,-0.353820994549392,-0.117727920154077,0.0244059209133939
